model,threads,paths,median_ms,speedup,efficiency,std_error
black_scholes,1,0,0.0000,1.0000,1.0000,0
binomial_1000steps,1,0,0.1122,1.0000,1.0000,0
monte_carlo_parallel,1,4000000,145.1631,1.0000,1.0000,0
monte_carlo_parallel,2,4000000,75.3890,1.9255,0.9628,0
monte_carlo_parallel,4,4000000,47.3420,3.0663,0.7666,0
monte_carlo_parallel,8,4000000,39.4948,3.6755,0.4594,0
asian_path_mc,1,1000000,732.6285,1.0000,1.0000,0
asian_path_mc,4,1000000,201.8321,3.6299,0.9075,0
portfolio_threadpool,4,2000,1.4386,0.0000,0.0000,0
monte_carlo_serial,1,10000,0.3705,0.0000,0.0000,0.115513
monte_carlo_serial,1,100000,3.6411,0.0000,0.0000,0.0513835
monte_carlo_serial,1,1000000,37.5498,0.0000,0.0000,0.00903589
monte_carlo_serial,1,10000000,384.9607,0.0000,0.0000,0.00673282
greeks_ad,1,200000,34.3957,0.0000,0.0000,0
greeks_bump,1,200000,33.4980,0.0000,0.0000,0
